,Relative_Compactness,Surface_Area,Wall_Area,Roof_Area,Orientation,Glazing_Area,Glazing_Area_Distribution,Heating_Load,Cooling_Load,Storey
0,98,514.5,294.0,110.25,North,0,Not Glazed,15.55,21.33,2
1,98,514.5,294.0,110.25,East,0,Not Glazed,15.55,21.33,2
2,98,514.5,294.0,110.25,South,0,Not Glazed,15.55,21.33,2
3,98,514.5,294.0,110.25,West,0,Not Glazed,15.55,21.33,2
4,90,563.5,318.5,122.5,North,0,Not Glazed,20.84,28.28,2
5,90,563.5,318.5,122.5,East,0,Not Glazed,21.46,25.38,2
6,90,563.5,318.5,122.5,South,0,Not Glazed,20.71,25.16,2
7,90,563.5,318.5,122.5,West,0,Not Glazed,19.68,29.6,2
8,86,588.0,294.0,147.0,North,0,Not Glazed,19.5,27.3,2
9,86,588.0,294.0,147.0,East,0,Not Glazed,19.95,21.97,2
10,86,588.0,294.0,147.0,South,0,Not Glazed,19.34,23.49,2
11,86,588.0,294.0,147.0,West,0,Not Glazed,18.31,27.87,2
12,82,612.5,318.5,147.0,North,0,Not Glazed,17.05,23.77,2
13,82,612.5,318.5,147.0,East,0,Not Glazed,17.41,21.46,2
14,82,612.5,318.5,147.0,South,0,Not Glazed,16.95,21.16,2
15,82,612.5,318.5,147.0,West,0,Not Glazed,15.98,24.93,2
16,79,637.0,343.0,147.0,North,0,Not Glazed,28.52,37.73,2
17,79,637.0,343.0,147.0,East,0,Not Glazed,29.9,31.27,2
18,79,637.0,343.0,147.0,South,0,Not Glazed,29.63,30.93,2
19,79,637.0,343.0,147.0,West,0,Not Glazed,28.75,39.44,2
20,76,661.5,416.5,122.5,North,0,Not Glazed,24.77,29.79,2
21,76,661.5,416.5,122.5,East,0,Not Glazed,23.93,29.68,2
22,76,661.5,416.5,122.5,South,0,Not Glazed,24.77,29.79,2
23,76,661.5,416.5,122.5,West,0,Not Glazed,23.93,29.4,2
24,74,686.0,245.0,220.5,North,0,Not Glazed,6.07,10.9,1
25,74,686.0,245.0,220.5,East,0,Not Glazed,6.05,11.19,1
26,74,686.0,245.0,220.5,South,0,Not Glazed,6.01,10.94,1
27,74,686.0,245.0,220.5,West,0,Not Glazed,6.04,11.17,1
28,71,710.5,269.5,220.5,North,0,Not Glazed,6.37,11.27,1
29,71,710.5,269.5,220.5,East,0,Not Glazed,6.4,11.72,1
30,71,710.5,269.5,220.5,South,0,Not Glazed,6.37,11.29,1
31,71,710.5,269.5,220.5,West,0,Not Glazed,6.4,11.67,1
32,69,735.0,294.0,220.5,North,0,Not Glazed,6.85,11.74,1
33,69,735.0,294.0,220.5,East,0,Not Glazed,6.79,12.05,1
34,69,735.0,294.0,220.5,South,0,Not Glazed,6.77,11.73,1
35,69,735.0,294.0,220.5,West,0,Not Glazed,6.81,11.93,1
36,66,759.5,318.5,220.5,North,0,Not Glazed,7.18,12.4,1
37,66,759.5,318.5,220.5,East,0,Not Glazed,7.1,12.23,1
38,66,759.5,318.5,220.5,South,0,Not Glazed,7.1,12.4,1
39,66,759.5,318.5,220.5,West,0,Not Glazed,7.1,12.14,1
40,64,784.0,343.0,220.5,North,0,Not Glazed,10.85,16.78,1
41,64,784.0,343.0,220.5,East,0,Not Glazed,10.54,16.8,1
42,64,784.0,343.0,220.5,South,0,Not Glazed,10.77,16.75,1
43,64,784.0,343.0,220.5,West,0,Not Glazed,10.56,16.67,1
44,62,808.5,367.5,220.5,North,0,Not Glazed,8.6,12.07,1
45,62,808.5,367.5,220.5,East,0,Not Glazed,8.49,12.22,1
46,62,808.5,367.5,220.5,South,0,Not Glazed,8.45,12.08,1
47,62,808.5,367.5,220.5,West,0,Not Glazed,8.5,12.04,1
48,98,514.5,294.0,110.25,North,10,Uniform,24.58,26.47,2
49,98,514.5,294.0,110.25,East,10,Uniform,24.63,26.37,2
50,98,514.5,294.0,110.25,South,10,Uniform,24.63,26.44,2
51,98,514.5,294.0,110.25,West,10,Uniform,24.59,26.29,2
52,90,563.5,318.5,122.5,North,10,Uniform,29.03,32.92,2
53,90,563.5,318.5,122.5,East,10,Uniform,29.87,29.87,2
54,90,563.5,318.5,122.5,South,10,Uniform,29.14,29.58,2
55,90,563.5,318.5,122.5,West,10,Uniform,28.09,34.33,2
56,86,588.0,294.0,147.0,North,10,Uniform,26.28,30.89,2
57,86,588.0,294.0,147.0,East,10,Uniform,26.91,25.6,2
58,86,588.0,294.0,147.0,South,10,Uniform,26.37,27.03,2
59,86,588.0,294.0,147.0,West,10,Uniform,25.27,31.73,2
60,82,612.5,318.5,147.0,North,10,Uniform,23.53,27.31,2
61,82,612.5,318.5,147.0,East,10,Uniform,24.03,24.91,2
62,82,612.5,318.5,147.0,South,10,Uniform,23.54,24.61,2
63,82,612.5,318.5,147.0,West,10,Uniform,22.58,28.51,2
64,79,637.0,343.0,147.0,North,10,Uniform,35.56,41.68,2
65,79,637.0,343.0,147.0,East,10,Uniform,37.12,35.28,2
66,79,637.0,343.0,147.0,South,10,Uniform,36.9,34.43,2
67,79,637.0,343.0,147.0,West,10,Uniform,35.94,43.33,2
68,76,661.5,416.5,122.5,North,10,Uniform,32.96,33.87,2
69,76,661.5,416.5,122.5,East,10,Uniform,32.12,34.07,2
70,76,661.5,416.5,122.5,South,10,Uniform,32.94,34.14,2
71,76,661.5,416.5,122.5,West,10,Uniform,32.21,33.67,2
72,74,686.0,245.0,220.5,North,10,Uniform,10.36,13.43,1
73,74,686.0,245.0,220.5,East,10,Uniform,10.43,13.71,1
74,74,686.0,245.0,220.5,South,10,Uniform,10.36,13.48,1
75,74,686.0,245.0,220.5,West,10,Uniform,10.39,13.7,1
76,71,710.5,269.5,220.5,North,10,Uniform,10.71,13.8,1
77,71,710.5,269.5,220.5,East,10,Uniform,10.8,14.28,1
78,71,710.5,269.5,220.5,South,10,Uniform,10.7,13.87,1
79,71,710.5,269.5,220.5,West,10,Uniform,10.75,14.27,1
80,69,735.0,294.0,220.5,North,10,Uniform,11.11,14.28,1
81,69,735.0,294.0,220.5,East,10,Uniform,11.13,14.61,1
82,69,735.0,294.0,220.5,South,10,Uniform,11.09,14.3,1
83,69,735.0,294.0,220.5,West,10,Uniform,11.16,14.45,1
84,66,759.5,318.5,220.5,North,10,Uniform,11.68,13.9,1
85,66,759.5,318.5,220.5,East,10,Uniform,11.69,13.72,1
86,66,759.5,318.5,220.5,South,10,Uniform,11.7,13.88,1
87,66,759.5,318.5,220.5,West,10,Uniform,11.69,13.65,1
88,64,784.0,343.0,220.5,North,10,Uniform,15.41,19.37,1
89,64,784.0,343.0,220.5,East,10,Uniform,15.2,19.43,1
90,64,784.0,343.0,220.5,South,10,Uniform,15.42,19.34,1
91,64,784.0,343.0,220.5,West,10,Uniform,15.21,19.32,1
92,62,808.5,367.5,220.5,North,10,Uniform,12.96,14.34,1
93,62,808.5,367.5,220.5,East,10,Uniform,12.97,14.5,1
94,62,808.5,367.5,220.5,South,10,Uniform,12.93,14.33,1
95,62,808.5,367.5,220.5,West,10,Uniform,13.02,14.27,1
96,98,514.5,294.0,110.25,North,10,Northward,24.29,25.95,2
97,98,514.5,294.0,110.25,East,10,Northward,24.31,25.63,2
98,98,514.5,294.0,110.25,South,10,Northward,24.13,26.13,2
99,98,514.5,294.0,110.25,West,10,Northward,24.25,25.89,2
100,90,563.5,318.5,122.5,North,10,Northward,28.88,32.54,2
101,90,563.5,318.5,122.5,East,10,Northward,29.68,29.44,2
102,90,563.5,318.5,122.5,South,10,Northward,28.83,29.36,2
103,90,563.5,318.5,122.5,West,10,Northward,27.9,34.2,2
